"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Lead","111-112","314110/US",7.18806839948646e-06,"tons",2.24831248069554e-08,"kg / million $","Manufacturing"
"Lead","111-112","314120/US",1.23491062791102e-05,"tons",3.86260233343671e-08,"kg / million $","Manufacturing"
"Lead","111-112","314900/US",0.000852160399996571,"tons",2.66542102326638e-06,"kg / million $","Manufacturing"
"Lead","111-112","315000/US",9.51718910128708e-05,"tons",2.97682407127512e-07,"kg / million $","Manufacturing"
"Lead","111-112","316000/US",0.00081612028671199,"tons",2.55269333065122e-06,"kg / million $","Manufacturing"
"Lead","111-112","321100/US",0.0193672619826233,"tons",6.05776884865802e-05,"kg / million $","Manufacturing"
"Lead","111-112","321200/US",0.00625894176101685,"tons",1.95769657370624e-05,"kg / million $","Manufacturing"
"Lead","111-112","321910/US",0.00167673603094669,"tons",5.24456131424497e-06,"kg / million $","Manufacturing"
"Lead","111-112","3219A0/US",0.00637109044251305,"tons",1.99277488213183e-05,"kg / million $","Manufacturing"
"Lead","111-112","322110/US",0.00679173165260355,"tons",2.12434470450705e-05,"kg / million $","Manufacturing"
"Lead","111-112","322120/US",0.0190808440311166,"tons",5.96818190828975e-05,"kg / million $","Manufacturing"
"Lead","111-112","322130/US",0.040263618848362,"tons",0.000125938140462336,"kg / million $","Manufacturing"
"Lead","111-112","322210/US",0.000188465383747406,"tons",5.89489485782635e-07,"kg / million $","Manufacturing"
"Lead","111-112","322220/US",0.0017167232377466,"tons",5.36963488216317e-06,"kg / million $","Manufacturing"
"Lead","111-112","322230/US",6.37659785707606e-06,"tons",1.99449751305438e-08,"kg / million $","Manufacturing"
"Lead","111-112","322291/US",0.000384069770397727,"tons",1.20130862737029e-06,"kg / million $","Manufacturing"
"Lead","111-112","322299/US",0.000291532632341579,"tons",9.11867304810878e-07,"kg / million $","Manufacturing"
"Lead","111-112","323110/US",0.0018215321233117,"tons",5.69746026223418e-06,"kg / million $","Manufacturing"
"Lead","111-112","323120/US",5.83831868515497e-05,"tons",1.82613242342681e-07,"kg / million $","Manufacturing"
"Lead","111-112","324110/US",0.108315938446883,"tons",0.000338794878865894,"kg / million $","Fuels"
"Lead","111-112","324121/US",0.00887486027387153,"tons",2.77591391862659e-05,"kg / million $","Manufacturing"
"Lead","111-112","324122/US",0.00129436277992292,"tons",4.04855912731214e-06,"kg / million $","Manufacturing"
"Lead","111-112","324190/US",0.0733467846145681,"tons",0.000229416975608639,"kg / million $","Manufacturing"
"Lead","111-112","325110/US",0.0216571171925486,"tons",6.77399882329607e-05,"kg / million $","Manufacturing"
"Lead","111-112","325120/US",0.000495013961247068,"tons",1.54832425811339e-06,"kg / million $","Manufacturing"
"Lead","111-112","325130/US",0.00106306627570933,"tons",3.32510076789832e-06,"kg / million $","Manufacturing"
