"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Carbon dioxide","111-112","314110/US",75.9317167803488,"tons",0.237502228735183,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","314120/US",318.776598892721,"tons",0.997082061566617,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","314900/US",11665.5737158041,"tons",36.4880431321298,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","315000/US",1655.99914307831,"tons",5.17969965571012,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","316000/US",1491.20460735922,"tons",4.66424878516174,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","321100/US",26302.685229268,"tons",82.2705797860723,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","321200/US",18668.7889211655,"tons",58.3929768029554,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","321910/US",4931.93623082505,"tons",15.4263053236259,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","3219A0/US",24325.472773901,"tons",76.086176420203,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322110/US",46371.7884378856,"tons",145.043515034609,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322120/US",184429.826927111,"tons",576.866911453384,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322130/US",437002.273788936,"tons",1366.87300627549,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322210/US",30569.6388537923,"tons",95.6169261970946,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322220/US",21681.9128892042,"tons",67.8175451942473,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322230/US",262.165129420636,"tons",0.820010466958952,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322291/US",2910.74354380348,"tons",9.10433884867439,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","322299/US",966.524740696739,"tons",3.02313433406498,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","323110/US",27255.1289234391,"tons",85.2496708655583,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","323120/US",741.668165491732,"tons",2.31981903946373,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","324110/US",3561545.04385389,"tons",11139.9415359321,"kg / million $","Fuels"
"Carbon dioxide","111-112","324121/US",92382.713540951,"tons",288.95830744944,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","324122/US",33760.9544345166,"tons",105.598849366459,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","324190/US",195197.673340108,"tons",610.54700760033,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325110/US",2415541.82713749,"tons",7555.4273217313,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325120/US",212529.534262739,"tons",664.758288100686,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325130/US",11328.3364438445,"tons",35.4332190467657,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325180/US",2962379.64138084,"tons",9265.84827816991,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325190/US",6779423.65540519,"tons",21204.9496043457,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325211/US",712669.923044408,"tons",2229.11718913463,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","3252A0/US",99957.0793102469,"tons",312.649708457362,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325310/US",28135012.1379736,"tons",88001.8044052638,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325320/US",3210137.73969276,"tons",10040.7958630703,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325411/US",26849.8465144175,"tons",83.9820125076122,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325412/US",2017.55990959631,"tons",6.31060372995398,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325413/US",7.0388660852995,"tons",0.0220164439039757,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325414/US",107624.264006322,"tons",336.631432177763,"kg / million $","Manufacturing"
