"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Releases to Ground","111/112","321910/US",0.0497745944416404,"tons",0.000155686946318839,"kg / million $","Manufacturing"
"Releases to Ground","111/112","3219A0/US",0.019011237981461,"tons",5.94641025261328e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322110/US",0.142546556162355,"tons",0.000445862759629398,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322120/US",1.38173889072466,"tons",0.0043218575845781,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322130/US",3.29839676276712,"tons",0.0103168559282837,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322210/US",9.04259109995921e-05,"tons",2.82837743020325e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322220/US",0.0390231600485843,"tons",0.000122058184337367,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322230/US",3.3588251716284e-06,"tons",1.05058662969679e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322291/US",0.0215358354317445,"tons",6.73606383418049e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","322299/US",0.000452317221561591,"tons",1.41477570600623e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","323110/US",0.00219568021753654,"tons",6.86773547822164e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","323120/US",1.80053446760768e-06,"tons",5.63178296374317e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","324110/US",13.4555694929101,"tons",0.0420868627626543,"kg / million $","Fuels"
"Releases to Ground","111/112","324121/US",0.00965151742752097,"tons",3.01883981675748e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","324122/US",0.00119648619603759,"tons",3.7424168747802e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","324190/US",0.140117251504741,"tons",0.000438264284381841,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325110/US",1.60940652100441,"tons",0.00503396540848932,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325120/US",0.112037811560535,"tons",0.000350436300883504,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325130/US",0.168104695033007,"tons",0.000525804517849649,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325180/US",228.059957413133,"tons",0.713334960245333,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325190/US",30.690548043214,"tons",0.0959951107447363,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325211/US",1.52932566851316,"tons",0.00478348534887598,"kg / million $","Manufacturing"
"Releases to Ground","111/112","3252A0/US",0.262593052773581,"tons",0.000821348942557313,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325310/US",134.785757009063,"tons",0.421588224904932,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325320/US",109.708075019956,"tons",0.343149258732806,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325411/US",0.912430978981295,"tons",0.00285393772541655,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325412/US",0.0131354677858476,"tons",4.10856359753134e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325413/US",1.00865679907353e-11,"tons",3.15491665362763e-14,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325414/US",0.00384817430125159,"tons",1.2036471870543e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325510/US",0.0117057275440671,"tons",3.66136378652543e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325520/US",0.401468492647751,"tons",0.00125572903937649,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325610/US",1.34962879269443,"tons",0.00422142234920541,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325620/US",0.000654668167382223,"tons",2.04769700236115e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","325910/US",0.00845088430737482,"tons",2.64330103794537e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","3259A0/US",3.17799059526901,"tons",0.00994024475252188,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326110/US",0.0288222491459903,"tons",9.01513715162699e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326120/US",0.0164604662600224,"tons",5.14856977892979e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326130/US",0.00536504237761167,"tons",1.67809918696747e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326140/US",0.000723432147335834,"tons",2.26277970018723e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326150/US",0.00301415051991316,"tons",9.42777928087031e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326160/US",0.00019905416915266,"tons",6.22609507823242e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326190/US",0.0887219227727712,"tons",0.000277507941209322,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326210/US",3.54673780963455e-06,"tons",1.10936268827462e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326220/US",0.0979506544930551,"tons",0.000306373933510101,"kg / million $","Manufacturing"
"Releases to Ground","111/112","326290/US",0.0739844199109771,"tons",0.000231411396523095,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327100/US",0.475455176652568,"tons",0.0014871475176219,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327200/US",0.00585623835886278,"tons",1.83173740988606e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327310/US",0.0703602856297211,"tons",0.000220075685893455,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327320/US",0.0466757542372306,"tons",0.000145994271291215,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327330/US",0.00382889740400695,"tons",1.19761768284601e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327390/US",0.062958339716231,"tons",0.000196923586534019,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327400/US",1.0171044296625,"tons",0.00318133948689789,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327910/US",0.567966837016348,"tons",0.00177650915004684,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327991/US",7.88936545237761e-07,"tons",2.46766694827445e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327992/US",0.0833526166323366,"tons",0.000260713612973552,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327993/US",0.00320333884299733,"tons",1.00195300049207e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","327999/US",0.562959595290125,"tons",0.0017608473012145,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331110/US",0.385195028048363,"tons",0.00120482825278189,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331200/US",0.413355435703799,"tons",0.0012929094902917,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331313/US",3.6173309200776,"tons",0.0113144308073048,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33131B/US",0.0182581114674136,"tons",5.71084436105938e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331410/US",661.283189035832,"tons",2.06838772887808,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331420/US",0.21754067131205,"tons",0.000680432320878738,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331490/US",1.04079531001679,"tons",0.00325544076003409,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331510/US",0.102446315099774,"tons",0.000320435638671085,"kg / million $","Manufacturing"
"Releases to Ground","111/112","331520/US",0.0256034842423695,"tons",8.00835912684463e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332114/US",0.00104780375380342,"tons",3.27736204786834e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332119/US",0.0175001108226849,"tons",5.47375391962166e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33211A/US",0.00835677238371043,"tons",2.61386433801469e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332200/US",0.000727492455244355,"tons",2.27547969194976e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332310/US",0.193514879163109,"tons",0.000605283497377113,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332320/US",0.00178566178134992,"tons",5.58526358708116e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332410/US",0.00620468116791705,"tons",1.94072473066076e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332420/US",8.66138231972756e-05,"tons",2.70914143929271e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332430/US",0.00144624245005319,"tons",4.52361437016736e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332500/US",0.000279298577452936,"tons",8.7360114376876e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332600/US",1.44923933308403,"tons",0.00453298813951255,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332710/US",0.0257397144107888,"tons",8.05096973805228e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332720/US",0.790353098712445,"tons",0.00247209770029252,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332800/US",0.646104383648229,"tons",0.00202091086068713,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332913/US",0.000173512342049976,"tons",5.42718770196377e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33291A/US",0.00173146246605969,"tons",5.41573682378425e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332991/US",3.55271395400318e-05,"tons",1.11123193036076e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332996/US",0.0294172956020121,"tons",9.20125813703151e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","332999/US",0.0785665624026046,"tons",0.000245743603146209,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33299A/US",6.4811213550782e-06,"tons",2.02719078641012e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333111/US",1.0916703537235,"tons",0.00341456973511438,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333112/US",0.000408375982482604,"tons",1.27733455944512e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333120/US",0.000316614980065963,"tons",9.90320864654446e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333130/US",3.2345832586447e-05,"tons",1.0117257524677e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333242/US",4.14101534840974e-07,"tons",1.29524316869975e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33329A/US",0.0023932724145329,"tons",7.48577217167703e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333314/US",4.95504910212890e-09,"tons",1.54985986771794e-11,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333316/US",9.7536029535977e-05,"tons",3.05077053160614e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333318/US",0.000349485750484574,"tons",1.09313536122702e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333413/US",0.00668930149583752,"tons",2.09230619470751e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333414/US",1.74595615434135e-05,"tons",5.4610707555778e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333415/US",0.00182912570398084,"tons",5.72121176436627e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333511/US",5.01153200336097e-05,"tons",1.56752681309579e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333514/US",0.000490916047244286,"tons",1.53550664052098e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333517/US",0.000210705974798358,"tons",6.59054486640823e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33351B/US",0.00112377483470897,"tons",3.51498740127215e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333611/US",0.0215164533447276,"tons",6.73000142829894e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333612/US",2.00145034646876e-07,"tons",6.26021560086937e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333613/US",0.000202668719505923,"tons",6.33915241463624e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333618/US",0.00191932671367473,"tons",6.00334605218219e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333912/US",4.03839584529116e-06,"tons",1.26314543439873e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333914/US",9.46195522498456e-06,"tons",2.95954780085774e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333920/US",0.00840978015204834,"tons",2.6304443175731e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333991/US",2.49321814814377e-05,"tons",7.79838639260685e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333993/US",4.50755708281887e-06,"tons",1.40989154297325e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","333994/US",5.66802633922551e-07,"tons",1.77286770953685e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33399A/US",0.00126900955562744,"tons",3.96925830900958e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33399B/US",4.27496957567018e-08,"tons",1.3371419020247e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334111/US",2.92074601439886e-07,"tons",9.13562497204932e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334112/US",4.31740169094391e-07,"tons",1.35041398696466e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334118/US",0.0375322430554221,"tons",0.000117394835163272,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334210/US",9.96371767881889e-06,"tons",3.11649104688761e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334220/US",4.64367747557827e-05,"tons",1.45246781811554e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334290/US",4.60434839121402e-08,"tons",1.44016631146366e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334300/US",3.27627678166588e-06,"tons",1.02476681759994e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334413/US",0.0192713994409508,"tons",6.0277845834987e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334418/US",0.0013311233831088,"tons",4.16354039675388e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33441A/US",0.268918248974664,"tons",0.000841133141554026,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334510/US",2.99632324565151e-09,"tons",9.37201842692225e-12,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334511/US",1.14771411333738e-06,"tons",3.58986562436049e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334512/US",7.70895922810827e-05,"tons",2.41123877549178e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334513/US",1.03722848387623e-05,"tons",3.24428430007489e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334515/US",1.89854541119851e-07,"tons",5.93834547187923e-10,"kg / million $","Manufacturing"
